品番,サイズコード,"サイズ（ / 区切り）",商品名
cr25ss11130,02,98.5cm/約68cm～76cm/107cm/68cm/57cm/31.5cm/67cm/4cm,ウォーターリペレントスラックス
cr25ss11130,03,101.5cm/約72cm～80.5cm/111cm/70cm/59cm/32.5cm/69cm/4cm,ウォーターリペレントスラックス
cr25ss07129,01,57cm/37.5cm/98cm/104cm/23cm/35cm,ドライコンフォートカラーTシャツ
cr25ss07129,02,59cm/38.5cm/101cm/107cm/24cm/37cm,ドライコンフォートカラーTシャツ
cr25ss07129,03,61cm/39.5cm/104cm/110cm/25cm/39cm,ドライコンフォートカラーTシャツ
cr25ss03127,01,62cm/39cm/97cm/57cm/35cm/29cm/約400g,ポケッタブルストレッチジャケット
cr25ss03127,02,64cm/40cm/100cm/58.5cm/36cm/29.5cm/約420g,ポケッタブルストレッチジャケット
cr25ss03127,03,66cm/41cm/103cm/60cm/37cm/30cm/約440g,ポケッタブルストレッチジャケット
cr25ss18118,01,約122cm～128cm/104cm/約85cm～92cm/126cm/33cm～41cm,ボックスタックキャミワンピース
cr25ss18118,02,約127.5cm～133.5cm/109cm/約88cm～95cm/129cm/34cm～42cm,ボックスタックキャミワンピース
cr25ss18118,03,約132.5cm～138.5cm/113cm/約91cm～98.5cm/132cm/35cm～43cm,ボックスタックキャミワンピース
cr25ss11119,01,98.5cm/約65cm～69.5cm/97cm/66.5cm/49cm/31cm/66cm/4cm,ピンタックスラブストレートパンツ
cr25ss11119,02,101.5cm/約69cm～74cm/101cm/68.5cm/51cm/32cm/68cm/4cm,ピンタックスラブストレートパンツ
cr25ss11119,03,104.5㎝/約73cm～78.5cm/105cm/70.5cm/53cm/33cm/70cm/4cm,ピンタックスラブストレートパンツ
cr25ss11114,01,97cm/約64cm～76.5cm/102cm/69cm/55cm/30.5cm/67cm/3.5cm,トリアセテートジャカードパンツ
cr25ss11114,02,99.5cm/約68cm～79cm/106cm/71cm/57cm/31cm/69cm/3.5cm,トリアセテートジャカードパンツ
cr25ss11114,03,102cm/約72cm～83.5cm/110cm/73cm/59cm/31.5cm/71cm/3.5cm,トリアセテートジャカードパンツ
cr25ss11113,01,97cm/約64cm～71.5cm/105cm/70cm/56cm/30.5cm/67cm/3.5cm,ウォッシャブルサテンスラックス
