"ä˙ä‘","çwì¸åèêî","íjê´","èóê´","íjê´(âÔàı)","íjê´(îÒâÔàı)","èóê´(âÔàı)","èóê´(îÒâÔàı)","çwì¸çáåv","çwì¸ïΩãœ"
"2024-04-10","3","0","1","0","0","1","0","23670","7890.0000"
"2024-04-11","3","0","2","0","0","2","0","13470","4490.0000"
"2024-04-12","4","0","2","0","0","2","0","4810","1202.5000"
"2024-04-13","10","0","3","0","0","3","0","53880","5388.0000"
"2024-04-14","12","0","3","0","0","3","0","82140","6845.0000"
"2024-04-15","5","0","2","0","0","2","0","27680","5536.0000"
"2024-04-16","3","0","0","0","0","0","0","27960","9320.0000"
"2024-04-17","2","0","1","0","0","1","0","9180","4590.0000"
"2024-04-18","5","0","1","0","0","1","0","18360","3672.0000"
"2024-04-19","192","1","53","1","0","53","0","1673500","8716.1458"
"2024-04-20","34","0","13","0","0","13","0","281350","8275.0000"
"2024-04-21","8","0","6","0","0","6","0","57180","7147.5000"
"2024-04-22","4","0","0","0","0","0","0","28590","7147.5000"
"2024-04-23","7","0","3","0","0","3","0","45990","6570.0000"
"2024-04-24","2","0","1","0","0","1","0","4590","2295.0000"
"2024-04-25","2","0","0","0","0","0","0","9400","4700.0000"
"2024-04-26","2","0","0","0","0","0","0","12590","6295.0000"
"2024-04-27","3","0","0","0","0","0","0","17400","5800.0000"
"2024-04-28","0","0","0","0","0","0","0","0","0"
"2024-04-29","7","0","1","0","0","1","0","44590","6370.0000"
"2024-04-30","1","0","0","0","0","0","0","0","0.0000"
"2024-05-01","3","0","0","0","0","0","0","17180","5726.6667"
"2024-05-02","0","0","0","0","0","0","0","0","0"
"2024-05-03","2","0","1","0","0","1","0","9400","4700.0000"
"2024-05-04","0","0","0","0","0","0","0","0","0"
"2024-05-05","0","0","0","0","0","0","0","0","0"
"2024-05-06","2","0","0","0","0","0","0","9180","4590.0000"
"2024-05-07","2","0","1","0","0","1","0","9400","4700.0000"
"2024-05-08","2","0","0","0","0","0","0","9400","4700.0000"
"2024-05-09","106","0","55","0","0","55","0","1018060","9604.3396"
"2024-05-10","64","0","26","0","0","26","0","387260","6050.9375"
"2024-05-11","10","0","5","0","0","5","0","54810","5481.0000"
"2024-05-12","21","0","8","0","0","8","0","127630","6077.6190"
"2024-05-13","8","0","4","0","0","4","0","63670","7958.7500"
"2024-05-14","5","0","2","0","0","2","0","27900","5580.0000"
"2024-05-15","8","0","4","0","0","4","0","50580","6322.5000"
"2024-05-16","5","0","0","0","0","0","0","23170","4634.0000"
"2024-05-17","8","0","4","0","0","4","0","36940","4617.5000"
"2024-05-18","4","0","2","0","0","2","0","19020","4755.0000"
"2024-05-19","6","0","3","0","0","3","0","27540","4590.0000"
"2024-05-20","3","0","2","0","0","2","0","14430","4810.0000"
"2024-05-21","4","0","1","0","0","1","0","13770","3442.5000"
"2024-05-22","1","0","0","0","0","0","0","4590","4590.0000"
"2024-05-23","3","0","1","0","0","1","0","27300","9100.0000"
"2024-05-24","1","0","0","0","0","0","0","14490","14490.0000"
"2024-05-25","5135","23","2542","23","0","2542","0","71637340","13950.7965"
"2024-05-26","454","0","135","0","0","135","0","5228210","11515.8811"
"2024-05-27","50","0","14","0","0","14","0","536180","10723.6000"
"2024-05-28","29","0","6","0","0","6","0","348600","12020.6897"
"2024-05-29","92","0","34","0","0","34","0","949540","10321.0870"
"2024-05-30","44","0","19","0","0","19","0","276320","6280.0000"
"2024-05-31","30","0","9","0","0","9","0","218550","7285.0000"
"2024-06-01","48","0","20","0","0","20","0","508750","10598.9583"
"2024-06-02","35","0","15","0","0","15","0","369940","10569.7143"
"2024-06-03","29","0","8","0","0","8","0","268400","9255.1724"
"2024-06-04","16","0","6","0","0","6","0","150420","9401.2500"
"2024-06-05","13","0","4","0","0","4","0","126420","9724.6154"
"2024-06-06","11","0","1","0","0","1","0","120040","10912.7273"
"2024-06-07","14","0","4","0","0","4","0","164060","11718.5714"
"2024-06-08","5","0","2","0","0","2","0","43000","8600.0000"
"2024-06-09","10","0","2","0","0","2","0","104640","10464.0000"
